"1","Delhi","Dehli; Dilli","11","28.6139391","77.2090212","213.1585999","16314838","Delhi","DL"
"2","Kolkata","Calcutta; Howrah","33","22.572646","88.363895","13.94972324","14112536","Kolkata","WB"
"3","Mumbai","Bombay","22","19.0759837","72.8776559","5.45586729","12461724","Mumbai","MH"
"4","Hyderabad",,"40","17.384934","78.486616","504.7939453","8746490","Hyderabad","TG"
"5","Bengaluru","Bangalore","80","12.9715987","77.5945627","911.8583984","8728906","Bengaluru Urban","KA"
"6","Chennai","Madras","44","13.0826802","80.2707184","9.259319305","8696010","Chennai","TN"
"7","Ahmedabad",,"79","23.022505","72.5713621","50.38751221","6577940","Ahmedabad","GJ"
"8","Surat",,"261","21.1702401","72.8310607","13.92158127","4462002","Surat","GJ"
"9","Pune","Poona; Puna","20","18.5204303","73.8567437","559.9094849","3115431","Pune","MH"
"10","Jaipur",,"141","26.9124336","75.7872709","432.9278259","3046163","Jaipur","RJ"
"11","Kanpur","Cawnpore","522","26.447965","80.330572","132.236557","2920067","Kanpur","UP"
"12","Lucknow",,"512","26.8466937","80.946166","117.335022","2901474","Lucknow","UP"
"13","Nagpur",,"712","21.1458004","79.0881546","310.3305664","2405421","Nagpur","MH"
"14","Ghaziabad",,"120","28.6691565","77.4537578","218.1665497","2358525","Ghaziabad","UP"
"15","Indore",,"731","22.7195687","75.8577258","549.1705933","2167447","Indore","MP"
"16","Coimbatore","Kovai","422","11.0168445","76.9558321","432.0474548","2151466","Coimbatore","TN"
"17","Patna",,"612","25.5940947","85.1375645","54.95563126","2046652","Patna","BR"
"18","Visakhapatnam","Vizag","891","17.6868159","83.2184815","54.02649689","2035922","Visakhapatnam","AP"
"19","Bhopal",,"755","23.2599333","77.412615","495.2271423","1883381","Bhopal","MP"
"20","Nashik",,"253","19.9974533","73.7898023","582.673645","1817359","Nashik","MH"
"21","Pimpri-Chinchwad",,"212","18.62354","73.807873","572.5076904","1772891","Pune","MH"
"22","Agra",,"562","27.1766701","78.0080745","167.8369751","1746467","Agra","UP"
"23","Vadodara","Baroda","265","22.3071588","73.1812187","36.88405991","1670806","Vadodara","GJ"
"24","Ludhiana",,"161","30.900965","75.8572758","251.869278","1618879","Ludhiana","PB"
"25","Madurai",,"452","9.9252007","78.1197754","138.6851654","1462420","Madurai","TN"
"26","Varanasi","Kashi; Banaras; Benaras","542","25.3176452","82.9739144","80.98555756","1435113","Varanasi","UP"
"27","Meerut",,"121","28.9844618","77.7064137","225.0532074","1424908","Meerut","UP"
"28","Faridabad",,"129","28.4089123","77.3177894","205.292572","1404653","Faridabad","HR"
"29","Jamshedpur",,"657","22.8045665","86.2028754","150.3902283","1337131","East Singhbhum","JH"
"30","Rajkot",,"281","22.3038945","70.8021599","128.6469727","1286678","Rajkot","GJ"
"31","Jabalpur","Jubbulpore","761","23.181467","79.9864071","422.4355469","1267564","Jabalpur","MP"
"32","Asansol",,"341","23.6739452","86.9523954","121.2698441","1243008","Bardhaman","WB"
"33","Allahabad","Ilahabad; Prayag","532","25.4358011","81.846311","94.81197357","1216719","Allahabad","UP"
"34","Dhanbad",,"326","23.7956531","86.4303859","246.2186279","1195298","Dhanbad","JH"
"35","Srinagar",,"194","34.081413","74.807591","1593.155396","1192792","Srinagar","JK"
"36","Aurangabad",,"240","19.8761653","75.3433139","594.7637329","1171330","Aurangabad","MH"
"37","Jodhpur",,"291","26.2389469","73.0243094","220.236084","1137815","Jodhpur","RJ"
"38","Amritsar",,"183","31.6339793","74.8722642","232.0050659","1132761","Amritsar","PB"
"39","Ranchi",,"651","23.349649","85.334521","635.0498657","1126741","Ranchi","JH"
"40","Gwalior",,"751","26.2182871","78.1828308","211.9999847","1101981","Gwalior","MP"
"41","Chandigarh",,"172","30.7399738","76.7567368","334.1286316","1054686","Chandigarh","CH"
"42","Vijayawada",,"866","16.5061743","80.6480153","31.65884972","1048240","Krishna","AP"
"43","Tiruchirappalli","Trichy; Tiruchi; Trichinopoly","431","10.7904833","78.7046725","81.21243286","1021717","Tiruchirappalli","TN"
"44","Raipur",,"771","21.2513844","81.6296413","296.9813843","1010087","Raipur","CT"
"45","Kota",,"744","25.2138156","75.8647527","259.7347412","1001365","Kota","RJ"
"46","Bareilly",,"581","28.3670355","79.4304381","177.5299377","979933","Bareilly","UP"
"47","Guwahati","Gauhati","361","26.1445169","91.7362365","49.71243286","968549","Kamrup","AS"
"48","Tirupur","Tiruppur","421","11.1085242","77.3410656","307.00354","962982","Tiruppur","TN"
"49","Thiruvananthapuram","Trivandrum","471","8.5241391","76.9366376","21.32456779","957730","Thiruvananthapuram","KL"
"50","Solapur",,"217","17.6599188","75.9063906","474.0987854","951118","Solapur","MH"
"51","Hubli","Hubballi; Hubli-Dharwad","836","15.3647083","75.1239547","626.3363647","943857","Dharwad","KA"
"52","Salem",,"427","11.664325","78.1460142","285.118042","919150","Salem","TN"
"53","Aligarh","Allygurh","571","27.8973944","78.0880129","188.6563416","909559","Aligarh","UP"
"54","Gurgaon","Guru Gram","124","28.4594965","77.0266383","228.025177","901968","Gurgaon","HR"
"55","Durg","Durg - Bhilai","788","21.1904494","81.2849169","296.6963806","894376","Durg","CT"
"56","Moradabad",,"591","28.8386481","78.7733286","203.6760101","889810","Moradabad","UP"
"57","Mysore","Mysuru","821","12.2958104","76.6393805","750.0726318","887446","Mysuru","KA"
"58","Bhubaneswar","Bhubaneshwar","674","20.295515","85.824797","46.09406281","881988","Khurda","OR"
"59","Jalandhar","Jullundur","181","31.3260152","75.5761829","240.4796906","862196","Jalandhar","PB"
"60","Warangal",,"870","17.975762","79.601212","269.8690186","811844","Warangal","TG"
"61","Guntur",,"863","16.3066525","80.4365402","39.71603775","743354","Guntur","AP"
"62","Dehradun",,"135","30.3164945","78.0321918","652.1730957","714223","Dehradun","UT"
"63","Bhiwandi",,"2522","19.2812547","73.0482912","13.54393291","711329","Thane","MH"
"64","Saharanpur",,"132","29.967079","77.5510172","277.2987061","703345","Saharanpur","UP"
"65","Siliguri",,"353","26.7083818","88.4268741","122.0030594","701489","Darjeeling; Jalpaiguri","WB"
"66","Gorakhpur",,"551","26.7605545","83.3731675","82.13924408","692519","Gorakhpur","UP"
"67","Cuttack",,"671","20.462521","85.8829895","28.46274757","658986","Cuttack","OR"
"68","Pondicherry","Puducherry; Pondy","413","11.9138598","79.8144722","3.723860979","654392","Pondicherry","PY"
"69","Amravati","Ambanagari","721","20.9374238","77.7795513","366.3330688","646801","Amravati","MH"
"70","Bikaner",,"151","28.0229348","73.3119159","225.2949982","644406","Bikaner","RJ"
"71","Faizabad",,"5278","26.7732476","82.1441643","104","642381","Faizabad","UP"
"72","Kochi","Cochin","484","9.9312328","76.2673041","7.96732378","612343","Ernakulam","KL"
"73","Firozabad",,"5612","27.1591006","78.3957574","166.38591","603797","Firozabad","UP"
"74","Bhavnagar",,"278","21.768064","72.147388","30.2083931","593368","Bhavnagar","GJ"
"75","Durgapur",,"343","23.5204443","87.3119227","107.7963104","581409","Bardhaman","WB"
"76","Bokaro Steel City",,"6542","23.6692956","86.151112","214.4392853","563417","Bokaro","JH"
"77","Naya Raipur",,"771","21.1649932","81.7753055","314","560000","Raipur","CT"
"78","Rourkela","Raurkela","661","22.260423","84.8535844","201.8086395","552,970","Sundargarh","OR"
"79","Ajmer",,"145","26.4498954","74.6399163","477.6025391","551101","Ajmer","RJ"
"80","Nanded",,"2462","19.1382514","77.3209555","356.374939","550564","Nanded","MH"
"81","Kolhapur",,"231","16.7049873","74.2432527","567.2568359","549618","Kolhapur","MH"
"82","Jhansi",,"510","25.4484257","78.5684594","257.9830017","549391","Jhansi","UP"
"83","Gulbarga","Kalaburagi","8472","17.329731","76.8342957","455.3568115","532031","Kalburgi","KA"
"84","Agartala",,"381","23.831457","91.2867777","15.93061543","522613","West Tripura","TR"
"85","Erode",,"424","11.3410364","77.7171642","176.6972046","521776","Erode","TN"
"86","Ujjain",,"734","23.1793013","75.7849097","492.842926","515215","Ujjain","MP"
"87","Sangli-Miraj-Kupwad",,"233","16.8541887","74.6049061","561.3086548","513862","Sangli","MH"
"88","Jammu",,"191","32.726601","74.857031","327","503690","Jammu","JK"
"89","Nellore",,"861","14.4425987","79.986456","19.11972427","499575","Nellore","AP"
"90","Mangalore","Mangaluru","824","12.9141417","74.8559568","28.84196854","499487","South Canara","KA"
"91","Tirunelveli","Nellai; Tinnevelly","462","8.7139126","77.7566523","53.77753448","498984","Tirunelveli","TN"
"92","Muzaffarnagar",,"131","29.4726817","77.7085091","249.2189484","494792","Muzaffarnagar","UP"
"93","Belgaum","Belagavi; Belgaon; Venugrama","831","15.8496953","74.4976741","775.6207886","490045","Belagavi","KA"
"94","Vellore",,"416","12.9165167","79.1324986","218.1465759","481966","Vellore","TN"
"95","Jamnagar",,"288","22.4707019","70.05773","21.02386665","479920","Jamnagar","GJ"
"96","Udaipur",,"294","24.595745","73.694395","581.3670044","474531","Udaipur","RJ"
"97","Gaya",,"631","24.7954523","84.999431","116.2075958","470839","Gaya","BR"
"98","Jalgaon",,"257","21.0076578","75.5626039","225.4099731","460000","Jalgaon","MH"
"99","Mathura",,"565","27.4924134","77.673673","176.5500488","454937","Mathura","UP"
"100","Patiala",,"175","30.3397809","76.3868797","255","445196","Patiala","PB"
"101","Panipat",,"180","29.3909464","76.9635023","237.8469849","442277","Panipat","HR"
"102","Davangere",,"8192","14.4663438","75.9238397","595.8746338","435128","Davangere","KA"
"103","Calicut","Kozhikode","495","11.2587531","75.78041","15.41701698","432097","Kozhikode","KL"
"104","Akola",,"724","20.7059345","77.0219019","288.2747192","427618","Akola","MH"
"105","Kurnool",,"8518","15.8281257","78.0372792","284.974884","424920","Kurnool","AP"
"106","Rajamahendravaram","Rajahmundry","883","17.0005383","81.8040345","36.38978577","419818","East","AP"
"107","Latur",,"2382","18.4087934","76.5603828","632.861145","410873","Latur","MH"
"108","Tuticorin","Thoothukudi","461","8.7641661","78.1348361","1.923844695","410760","Thoothukkudi","TN"
"109","Bhagalpur",,"641","25.2414303","86.9924358","44.16566086","410210","Bhagalpur","BR"
"110","Malegaon",,"2554","20.554554","74.525989","429.1509705","409618","Malegaon","MH"
"111","Bellary","Ballari","8392","15.1393932","76.9214428","458.6511536","409444","Ballari","KA"
"112","Ambala",,"171","30.3781788","76.7766974","274.3565369","407934","Ambala","HR"
"113","Muzaffarpur",,"621","26.1208876","85.3647201","59.51567841","393724","Muzaffarpur","BR"
"114","Yamunanagar",,"1732","30.1290485","77.2673901","278.85849","383318","Yamunanagar","HR"
"115","Dhule",,"2562","20.9042201","74.7748979","263.1583252","380000","Dhule","MH"
"116","Dimapur",,"3862","25.8629885","93.7536663","165.8028717","375782","Dimapur","NL"
"117","Tirupati",,"877","13.6287557","79.4191795","153.6281586","374260","Chittoor","AP"
"118","Rohtak",,"1262","28.8955152","76.606611","223.922699","373133","Rohtak","HR"
"119","Sagar","Saugor","7582","23.838805","78.7378068","522.569519","370296","Sagar","MP"
"120","Budaun","Badaun","583","28.0337088","79.1205419","173.9219818","369221","Budaun","UP"
"121","Korba",,"7759","22.3594501","82.7500595","314.9524231","363210","Korba","CT"
"122","Bhilwara",,"1482","25.321377","74.586953","427.1775513","359483","Bhilwara","RJ"
"123","Rampur",,"595","28.7893041","79.0249516","190.0673218","359062","Rampur","UP"
"124","Shahjahanpur",,"5842","27.883744","79.9122455","159.6863251","356103","Shahjahanpur","UP"
